Sl.No,PLACE1,PLCODE
1,1011 COLONY,1
2,15-VELAMPALAYAM,2
3,CHINNASALEM,3
4,8.BEND,4
5,9/6 CHECKPOST,5
6,A.G.NAGAR,6
7,A.GOUNDENPUDUR,7
8,A.PATTI NALROAD,8
9,A.PATTINAM,9
10,A.PATTINAM RAMARKL,10
11,A.PRIVU(BATLAGUNDU),11
12,AALAAM PALAYAM,12
13,AALAAM PALAYAM PIRIV,13
14,AALAMARAM(C.MALA,14
15,AALAMARAM(UDUKKAMPAL,15
16,AALAMARATHUR,16
17,AALAMARATHUR PIRIVU,17
18,AALAMPATTY,18
19,AARASUR,19
20,AASARI THOTTAM,20
21,AATHIMARATHU VAL,21
22,AATHIMARATHU VALASU,22
23,AATHU KINATHU PATTI,23
24,AATHU PALAM,24
25,AATHU PALAM(KADATHUR,25
26,AATHUKINATHU PATTI P,26
27,AATHUR,27
28,ABDULLAPURAM,28
29,ABIRAMI,29
30,ABISEGAPURAM,30
31,ACHANKUATTAIPATTI,31
32,ACHIPATTI,32
33,ACHIYUR,33
34,ADARI,34
35,ADASAPALAYAM,35
36,ADI PIPE (VAIPAD,36
37,ADIREDDIYUR,37
38,ADIVALLI,38
39,ADIVALLI PRIVU,39
40,ADIVARAM,40
41,AGARAM CHERI,41
42,AGASTHA LINGAM P,42
43,AGRAHARAM,43
44,AGRAHARAM (PALLI,44
45,AIYA MADAI,45
46,AIYAKUDI,46
47,AKAMANAIKEN PALAYAM,47
48,AKARAITHATHAPALI,48
49,AKKAMMAPETTAI,49
50,AKKARAI KODIVERI,50
51,AKKARAIPALAYAM,51
52,AKKARAIPATTI,52
53,AKKARIPALAYAM(C.MAI),53
54,AKKARIPALAYAM(MOOLA,54
55,ALAMPALAYAM (BVN),55
56,ALAM PALAYAM (ER,56
57,ALAM PALAYAM (SI,57
58,ALAM PALAYAM (UD,58
59,ALAM PALAYAM -P,59
60,ALAMARAM (KODUMA,60
61,ALAMARAM (MURALI,61
62,ALAMARAM(PULIAMPATTI,62
63,ALAMARAM(SENJERIHILL,63
64,ALAMARATHUR PIRIVU,64
65,ALAMPADI,65
66,ALAMPALAYAM,66
67,ALAMPALAYAM(GETTI),67
68,ALANGANATHAM,68
69,ALANGARYUR,69
70,ALANGIYAM,70
71,ALANKOMBU,71
72,ALAYASIVAM,72
73,ALLINAGARAM,73
74,ALUKKULI,74
75,ALVA HOSPITAL,75
76,AMANTHAGADAVU,76
77,AMARAVATHY DAM,77
78,AMARAVATHY NAGAR,78
79,AMARAVATHY PALAYAM,79
80,AMARAVATHY SAINIK SC,80
81,AMATHUR,81
82,AMBILIGAI,82
83,AMBUR,83
84,AMCHI GOUNDAN PUDUR,84
85,AMCHIGOUNDANUR PIRIV,85
86,AMMA PALAYAM (AV,86
87,AMMA PALAYAM (KU,87
88,AMMA PATTI PIRIVU,88
89,AMMAIYAPPAN,89
90,AMMAN ARTS COLLEGE,90
91,AMMAN KOIL,91
92,AMMAN KOIL (JARA,92
93,AMMAN KOIL (KARU,93
94,AMMAN KOIL PUDUR,94
95,AMMAN KOIL(ANTHIYUR),95
96,AMMAN KOIL(SIVAGIRI),96
97,AMMAN KOVIL(KARATHOL,97
98,AMMAPALAYAM (AVI - R,98
99,AMMAPATTI,99
100,AMMAPATTI (PETHAPPAM,100
101,AMMAPATTI (VALAVADI),101
102,AMMAPATTI HOSPITAL,102
103,AMMAPATTI PIRIVU(PET,103
104,AMMAPATTI PIRIVU(TPR,104
105,AMMAPETTAI,105
106,AMMAPLYM(C.MALAI,106
107,AMOOR,107
108,AMSHIGOUNDANUR PIRIV,108
109,AMUTHA RANI,109
110,ANAI PALAYAM (DA,110
111,ANAI PALAYAM (DE,111
112,ANAI PALAYAM (KA,112
113,ANAI PALAYAM (SA,113
114,ANAI PALAYAM(PPT,114
115,ANAI PATHY,115
116,ANAIKARAI,116
117,ANAIPALAYAM,117
118,ANAIPUDUR,118
119,ANAKKAL MEDU,119
120,ANALMETUKADAI,120
121,ANAMALAI,121
122,ANAMALAI PIRIVU,122
123,ANANDHAVADI,123
124,ANANTHAM PALAYAM,124
125,ANDAKOTHAM PLM.,125
126,ANDAL KOIL,126
127,ANDALUR GATE,127
128,ANDAPURAM,128
129,ANDAVAR KOIL MED,129
130,ANDI KADU,130
131,ANDI PALAYAM (PR,131
132,ANDI PALAYAM (TH,132
133,ANDI PALAYAM (TH,133
134,ANDI PALAYAM (VE,134
135,ANDIGOUNDANUR,135
136,ANDIKADU,136
137,ANDIPALAYAM (NBR),137
